Start,Stop,Line_ID,Color_ID,geometry
Konstanzer Straße,Fehrbelliner Platz,U7,lightblue,"LINESTRING(13.309444 52.494167, 13.314444 52.490556)"
Fehrbelliner Platz,Blissestraße,U7,lightblue,"LINESTRING(13.314444 52.490556, 13.321667 52.486389)"
Blissestraße,Berliner Straße,U7,lightblue,"LINESTRING(13.321667 52.486389, 13.331111  52.4875)"
Berliner Straße,Bayerischer Platz,U7,lightblue,"LINESTRING(13.331111  52.4875, 13.34 52.488611)"
Bayerischer Platz,Eisenacher Straße,U7,lightblue,"LINESTRING(13.34 52.488611, 13.350278 52.489444)"
Eisenacher Straße,Kleistpark,U7,lightblue,"LINESTRING(13.350278 52.489444, 13.360278 52.490556)"
Kleistpark,Yorckstraße,U7,lightblue,"LINESTRING(13.360278 52.490556, 13.367778 52.492222)"
Yorckstraße,Möckernbrücke,U7,lightblue,"LINESTRING(13.367778 52.492222, 13.382778 52.498167)"
Möckernbrücke,Mehringdamm,U7,lightblue,"LINESTRING(13.382778 52.498167, 13.388611 52.494444)"
Mehringdamm,Gneisenaustraße,U7,lightblue,"LINESTRING(13.388611 52.494444, 13.396111 52.491389)"
Gneisenaustraße,Südstern,U7,lightblue,"LINESTRING(13.396111 52.491389, 13.407778 52.489444)"
Südstern,Hermannplatz,U7,lightblue,"LINESTRING(13.407778 52.489444, 13.424722 52.487222)"
Hermannplatz,Rathaus Neukölln,U7,lightblue,"LINESTRING(13.424722 52.487222, 13.434167 52.481667)"
Rathaus Neukölln,Karl-Marx-Straße,U7,lightblue,"LINESTRING(13.434167 52.481667, 13.439167 52.476389)"
Karl-Marx-Straße,Neukölln,U7,lightblue,"LINESTRING(13.439167 52.476389, 13.43833158 52.468164794)"
Neukölln,Grenzallee,U7,lightblue,"LINESTRING(13.43833158 52.468164794, 13.445 52.463)"
Grenzallee,Blaschkoallee,U7,lightblue,"LINESTRING(13.445 52.463, 13.449167 52.4525)"
Blaschkoallee,Parchimer Allee,U7,lightblue,"LINESTRING(13.449167 52.4525, 13.45 52.445)"
Parchimer Allee,Britz-Süd,U7,lightblue,"LINESTRING(13.45 52.445, 13.448333  52.437778)"
Britz-Süd,Johannisthaler Chaussee,U7,lightblue,"LINESTRING(13.448333  52.437778, 13.453 52.429)"
Johannisthaler Chaussee,Lipschitzallee,U7,lightblue,"LINESTRING(13.453 52.429, 13.463 52.425)"
Lipschitzallee,Wutzkyallee,U7,lightblue,"LINESTRING(13.463 52.425, 13.475 52.423)"
Wutzkyallee,Zwickauer Damm,U7,lightblue,"LINESTRING(13.475 52.423, 13.483889 52.423333)"
Zwickauer Damm,Rudow,U7,lightblue,"LINESTRING(13.483889 52.423333, 13.495278 52.416111)"
Wittenau,Rathaus Reinickendorf,U8,blue,"LINESTRING(13.336667 52.595833, 13.325833 52.588333)"
Rathaus Reinickendorf,Karl-Bonhoeffer-Nervenklinik,U8,blue,"LINESTRING(13.325833 52.588333, 13.329 52.578)"
Karl-Bonhoeffer-Nervenklinik,Lindauer Allee,U8,blue,"LINESTRING(13.329 52.578, 13.339167 52.575278)"
Lindauer Allee,Paracelsus-Bad,U8,blue,"LINESTRING(13.339167 52.575278, 13.349167 52.574167)"
Paracelsus-Bad,Residenzstraße,U8,blue,"LINESTRING(13.349167 52.574167, 13.360556 52.571111)"
Residenzstraße,Franz-Neumann-Platz (Am Schäfersee),U8,blue,"LINESTRING(13.360556 52.571111, 13.363889 52.564722)"
Franz-Neumann-Platz (Am Schäfersee),Osloer Straße,U8,blue,"LINESTRING(13.363889 52.564722, 13.373611 52.556944)"
Osloer Straße,Pankstraße,U8,blue,"LINESTRING(13.373611 52.556944, 13.381667 52.552222)"
Pankstraße,Gesundbrunnen,U8,blue,"LINESTRING(13.381667 52.552222, 13.389444 52.548611)"
Gesundbrunnen,Voltastraße,U8,blue,"LINESTRING(13.389444 52.548611, 13.393056 52.542222)"
Voltastraße,Bernauer Straße,U8,blue,"LINESTRING(13.393056 52.542222, 13.396667 52.5375)"
Bernauer Straße,Rosenthaler,U8,blue,"LINESTRING(13.396667 52.5375, 13.401  52.53)"
Rosenthaler,Weinmeisterstraße,U8,blue,"LINESTRING(13.401 52.53, 13.405 52.525)"
Weinmeisterstraße,Alexanderplatz,U8,blue,"LINESTRING(13.405 52.525, 13.411944  52.521389)"
Alexanderplatz,Jannowitzbrücke,U8,blue,"LINESTRING(13.411944 52.521389, 13.418389 52.514638)"
Jannowitzbrücke,Heinrich-Heine-Straße,U8,blue,"LINESTRING(13.418389 52.514638, 13.415833 52.510278)"
Heinrich-Heine-Straße,Moritzplatz,U8,blue,"LINESTRING(13.415833 52.510278, 13.410833 52.503611)"
Moritzplatz,Kottbusser Tor,U8,blue,"LINESTRING(13.410833 52.503611, 13.418056 52.498167)"
Kottbusser Tor,Schönleinstraße,U8,blue,"LINESTRING(13.418056 52.498167, 13.421944 52.492778)"
Schönleinstraße,Hermannplatz,U8,blue,"LINESTRING(13.421944 52.492778, 13.424722 52.487222)"
Hermannplatz,Boddinstraße,U8,blue,"LINESTRING(13.424722 52.487222, 13.425278 52.480278)"
Boddinstraße,Leinestraße,U8,blue,"LINESTRING(13.425278 52.480278, 13.428056 52.473611)"
Leinestraße,Hermannstraße,U8,blue,"LINESTRING(13.428056 52.473611, 13.431 52.468)"
Rathaus Steglitz,Schloßstraße,U9,orange,"LINESTRING(13.321 52.456, 13.324444 52.460833)"
Schloßstraße,Walther-Schreiber-Platz,U9,orange,"LINESTRING(13.324444 52.460833, 13.328333 52.466111)"
Walther-Schreiber-Platz,Friedrich-Wilhelm-Platz,U9,orange,"LINESTRING(13.328333 52.466111, 13.328611 52.471944)"
Friedrich-Wilhelm-Platz,Bundesplatz,U9,orange,"LINESTRING(13.328611 52.471944, 13.328611 52.4775)"
Bundesplatz,Berliner Straße,U9,orange,"LINESTRING(13.328611 52.4775, 13.331111  52.4875)"
Berliner Straße,Güntzelstraße,U9,orange,"LINESTRING(13.331111 52.4875, 13.330833 52.491944)"
Güntzelstraße,Spichernstraße,U9,orange,"LINESTRING(13.330833 52.491944, 13.331111 52.496667)"
Spichernstraße,Kurfürstendamm,U9,orange,"LINESTRING(13.331111 52.496667, 13.332778  52.504167)"
Kurfürstendamm,Zoologischer Garten,U9,orange,"LINESTRING(13.332778  52.504167, 13.3325 52.507222)"
Zoologischer Garten,Hansaplatz,U9,orange,"LINESTRING(13.3325 52.507222, 13.342222 52.517778)"
Hansaplatz,Turmstraße,U9,orange,"LINESTRING(13.342222 52.517778, 13.341389 52.525833)"
Turmstraße,Birkenstraße,U9,orange,"LINESTRING(13.341389 52.525833, 13.341389 52.532222)"
Birkenstraße,Westhafen,U9,orange,"LINESTRING(13.341389 52.532222, 13.344 52.536)"
Westhafen,Amrumer Straße,U9,orange,"LINESTRING(13.344 52.536, 13.350278 52.5425)"
Amrumer Straße,Leopoldplatz,U9,orange,"LINESTRING(13.350278 52.5425, 13.359167 52.546667)"
Leopoldplatz,Nauener Platz,U9,orange,"LINESTRING(13.359167 52.546667, 13.3675 52.551667)"
Nauener Platz,Osloer Straße,U9,orange,"LINESTRING(13.3675 52.551667, 13.373611 52.556944)"
